rank	category	path	format	bytes	width_px	height_px	animated_frame_count	duration_ms	sha256	review_status
51	web-brand-derivative	apps/web/public/local/icon.png	PNG	1523	32	32	1	n/a	14bebeecf77a93f5d28af360d5005651f5717d060da4b70f549a0c88dedb32ed	human-reviewed:keep
52	web-brand-derivative	apps/web/public/local/logo192.png	PNG	26865	192	192	1	n/a	09230c450c5251d0b317c9e470932c85c3b8b4aef03f62a9d0d9c81d356fa161	human-reviewed:keep
53	web-brand-derivative	apps/web/public/local/logo512.png	PNG	202372	512	512	1	n/a	0c09f51212d557f482eb24cf9e9e663cd64795ad37b8482b30014d23bbecd3f6	human-reviewed:keep
54	web-brand-derivative	apps/web/public/logo192.png	PNG	26865	192	192	1	n/a	09230c450c5251d0b317c9e470932c85c3b8b4aef03f62a9d0d9c81d356fa161	human-reviewed:keep
55	web-brand-derivative	apps/web/public/logo512.png	PNG	202372	512	512	1	n/a	0c09f51212d557f482eb24cf9e9e663cd64795ad37b8482b30014d23bbecd3f6	human-reviewed:keep
56	web-brand-derivative	apps/web/public/staging/favicon.ico	ICO	58675	256	256	n/a	n/a	277d8e2399b08fe7cd0abb1099ce8bbda78c70e53e57f4f176d65cbe4c1043f0	human-reviewed:keep
57	web-brand-derivative	apps/web/public/staging/icon.png	PNG	1523	32	32	1	n/a	14bebeecf77a93f5d28af360d5005651f5717d060da4b70f549a0c88dedb32ed	human-reviewed:keep
58	web-brand-derivative	apps/web/public/staging/logo192.png	PNG	26865	192	192	1	n/a	09230c450c5251d0b317c9e470932c85c3b8b4aef03f62a9d0d9c81d356fa161	human-reviewed:keep
59	web-brand-derivative	apps/web/public/staging/logo512.png	PNG	202372	512	512	1	n/a	0c09f51212d557f482eb24cf9e9e663cd64795ad37b8482b30014d23bbecd3f6	human-reviewed:keep
60	ui-icon	apps/web/src/components/icon/dots-three-large.svg	SVG	221	256	256	n/a	n/a	22935259f2bb6d7c0bbd5780fadcdff3829e0c46ed2ae3541e922a9aefe70e37	human-reviewed:keep
61	ui-icon	apps/web/src/components/icon/conation-apple.svg	SVG	907	24	24	n/a	n/a	203393faf9ce9d8a67ce7a7cbb977afa3fce7a058214fbf6dc3d84325f862b46	human-reviewed:review
62	ui-icon	apps/web/src/components/icon/macro-embed.svg	SVG	371	24	24	n/a	n/a	e1d1dafb03fc67878153b3af1bc013a73ed549234be3b65eb8f165a6a47c4ce8	human-reviewed:keep
63	ui-icon	apps/web/src/components/icon/macro-gear.svg	SVG	527	24	24	n/a	n/a	c1b38b0e87eac9b7bc9bcc9d9f531cd86930c86e32b0ce3382da4158bdd26fbc	human-reviewed:keep
64	ui-icon	apps/web/src/components/icon/conation-google.svg	SVG	817	24	24	n/a	n/a	c7af97ef7602c0855b914e5ab20c31b01b4fa55453a4f1c95ecfb2ae389796dd	human-reviewed:review
65	ui-icon	apps/web/src/components/icon/macro-grid-noise-loader-4.svg	SVG	1405	32	32	n/a	n/a	2f19bfb2fbf8a1aef975f17e8c8784a9cf98ce7597f8ac712903939bf4c04f38	human-reviewed:review
66	ui-icon	apps/web/src/components/icon/macro-grid-noise-loader.svg	SVG	7240	32	32	n/a	n/a	7c2464da64b81168e94b999d0efdc8c3d66fa99d758bb5840cbbe51c6dabbd39	human-reviewed:review
67	ui-icon	apps/web/src/components/icon/macro-light-dark.svg	SVG	256	24	24	n/a	n/a	43c858f9b2231386c5b27f97eba532b6e3cdf5bba2e7f0c563a2ba0c0bda5ccd	human-reviewed:review
68	ui-icon	apps/web/src/components/icon/macro-magnifying-glass.svg	SVG	191	24	24	n/a	n/a	e9a06df5cae5c127be97bb3574f9614779ba7beb17e49472d6e4c8f0cb3e6f5b	human-reviewed:keep
69	ui-icon	apps/web/src/components/icon/macro-mail.svg	SVG	285	24	24	n/a	n/a	1ff629193de602a071cec6ea6726d20e529c1d1103d1ff633a88c0d4b6958acf	human-reviewed:review
70	ui-icon	apps/web/src/components/icon/skill.svg	SVG	1109	24	24	n/a	n/a	bc07b0b93b459d077c6e0bed0226bee5cf86a45bd75b332c39224ba5ec3c8f87	human-reviewed:keep
71	ui-icon	apps/web/src/components/icon/square-add-emoji.svg	SVG	580	12	12	n/a	n/a	42e3723dc4d74d5e9e21e319b4d7100e0863ec1459f0327c16134b24f9fbe7d3	human-reviewed:review
72	ui-icon	apps/web/src/components/icon/square-command-k.svg	SVG	301	18	18	n/a	n/a	c14f40a84ba1155801123583d5fb7ca916c403527b1e6a4be0424fdb0cce2efb	human-reviewed:review
73	ui-icon	apps/web/src/components/icon/square-edit.svg	SVG	309	12	18	n/a	n/a	bf886190de1a7875de233141ecdd325085f26527ec82ceafa5bb28159640054e	human-reviewed:review
